uid,title,type,mvdb_id,piano_combination,final,editors.uid,editors.name,editors.gnd_id,editors.gender,editors.date_of_birth,editors.date_of_death,editors.place_of_birth,editors.place_of_death,editors.place_of_activity,editors.geographic_area_code,composers.uid,composers.name,composers.gnd_id,composers.gender,composers.date_of_birth,composers.date_of_death,composers.place_of_birth,composers.place_of_death,composers.place_of_activity,composers.geographic_area_code,works.uid,works.generic_title,works.individual_title,works.gnd_id,works.title_instrument,works.opus_no,works.title_number,works.firstcomposer,works.main_instrumentation,works.publishers,works.full_title,works.date_of_production,works.tonality,works.gnd_instruments,works.gnd_genres,works.mvdb_genres.uid,works.mvdb_genres.name,works.mvdb_genres.gnd_id,works.mvdb_instrumentation.uid,works.mvdb_instrumentation.has_orchestra,works.mvdb_instrumentation.has_choir,works.mvdb_instrumentation.instrumental_soloists,works.mvdb_instrumentation.vocal_soloists,works.mvdb_instrumentation.instruments.uid,works.mvdb_instrumentation.instruments.name,works.mvdb_instrumentation.instruments.gnd_id,works.composers.uid,works.composers.name,works.composers.gnd_id,works.composers.gender,works.composers.date_of_birth,works.composers.date_of_death,works.composers.place_of_birth,works.composers.place_of_death,works.composers.place_of_activity,works.composers.geographic_area_code,published_subitems.uid,published_subitems.mvdb_id,published_subitems.publisher_number,published_subitems.part,published_subitems.voice,published_subitems.published_item,published_subitems.prints.uid,published_subitems.prints.quantity,published_subitems.prints.date_of_action,published_subitems.prints.type,published_subitems.prints.inferred,published_subitems.prints.published_subitem,published_subitems.prints.certain,published_subitems.sales,published_subitems.maculation,published_subitems.works,instruments.uid,instruments.name,instruments.gnd_id,genres.uid,genres.name,genres.gnd_id
2855,Johannes-Passion. Kl. Ausz.,adaptation,PE_00039,one piano two hands,2,,,,,,,,,,,,,,,,,,,,,1407.0,Johannespassion,,300006667,,,,884.0,65862.0,PE,Johannespassion,1749-01-01,,,,2973.0,Oratorium,4129085-9,65862.0,1.0,1.0,Instrumentalsolisten,Vokalsolisten,3422.0,Viola,4188364-0,884.0,"Bach, Johann Sebastian",11850553X,m,1685-03-21,1750-07-28,Eisenach,Leipzig,"Mühlhausen/Thüringen, Weimar, Köthen (Anhalt), Leipzig",XA-DE,1912,PE_00039_00039_NN_EStK,00039,NN,EStK,2855,5956.0,1000.0,1903-01-01,print,0.0,1912.0,1.0,,,,2562.0,Gemischter Chor,107726772X,,,
9003,op. 90: Die Geburt Christi,adaptation,RB_01996,,-1,,,,,,,,,,,,,,,,,,,,,3802.0,Die Geburt Christi,,300073542,,90,,719.0,65936.0,"PE, RB",Die Geburt Christi in D-Dur,1894-01-01,D-Dur,,,2973.0,Oratorium,4129085-9,65936.0,1.0,1.0,Instrumentalsolisten,Vokalsolisten,3470.0,Tenor,4184718-0,719.0,"Herzogenberg, Heinrich von",119523876,m,1843-06-10,1900-10-09,Graz,Wiesbaden,Leipzig,"XA-AT, XA-DE",18292,RB_01996_01999_NN_EStA,01999,NN,EStA,9003,52460.0,200.0,1895-04-22,print,0.0,18292.0,1.0,,,,11.0,Kontrabass,4032300-6,,,
12958,Concert f 3 Claviere Dmoll,adaptation,PE_00258,,-1,,,,,,,,,,,,,,,,,,,,,12759.0,Konzert,,300201567,"Cembalo (3), Streichorchester",,,884.0,61936.0,PE,"Konzert für Cembalo (3), Streichorchester in d-Moll",1846-01-01,d-Moll,,,2932.0,Konzert,4032359-6,61936.0,1.0,0.0,Instrumentalsolisten,,3422.0,Viola,4188364-0,884.0,"Bach, Johann Sebastian",11850553X,m,1685-03-21,1750-07-28,Eisenach,Leipzig,"Mühlhausen/Thüringen, Weimar, Köthen (Anhalt), Leipzig",XA-DE,23685,PE_00258_00258_NN_EStBC,00258,NN,EStBC,12958,62420.0,50.0,1892-01-01,print,0.0,23685.0,1.0,,,,3.0,Cembalo,4009667-1,,,
9208,Var. p. G. & Pfte *op 113*,adaptation,HO_01201,,1,,,,,,,,,,,,,,,,,,,,,9326.0,Quintette,,300059213,"Gitarre, Violine (2), Viola, Violoncello",113,,3386.0,58925.0,HO,"Quintett für Gitarre, Violine (2), Viola, Violoncello",,,,,3023.0,Polonaise,4209517-7,58925.0,0.0,0.0,Quintett,,3426.0,Violine,4019791-8,3386.0,"Giuliani, Mauro",119380765,m,1781-07-27,1829-05-08,Bisceglie,Neapel,,XA-IT,15959,HO_01201_01201_NN_N,01201,NN,N,9208,50676.0,300.0,1826-08-15,print,0.0,15959.0,1.0,,,,1.0,Klavier,4030982-4,,,
1036,Kleine Präludien & Fugen.,collection full,PE_00200,,0,,,,,,,,,,,,,,,,,,,,,1207.0,Präludien,,300010443,Klavier,,,884.0,51869.0,PE,Präludien für Klavier,,,,,2953.0,Präludium,4137959-7,51869.0,0.0,0.0,Einzelinstrument Klavier,,3445.0,Klavier,4030982-4,884.0,"Bach, Johann Sebastian",11850553X,m,1685-03-21,1750-07-28,Eisenach,Leipzig,"Mühlhausen/Thüringen, Weimar, Köthen (Anhalt), Leipzig",XA-DE,1846,PE_00200_00200_NN_N,00200,NN,N,1036,12539.0,10000.0,1920-05-01,print,0.0,1846.0,1.0,,,,,,,,,
3453,Sei Melodie per Canto e Pianoforte,collection full,RB_02319,,1,,,,,,,,,,,815.0,"Brahms, Johannes",118514253,m,1833-05-07,1897-04-03,Hamburg,Wien,Wien,"XA-DE, XA-AT",3217.0,Lieder und Gesänge,"Wie bist du, meine Königin",300026129,,"32, Nr. 9",,815.0,53313.0,"PE, RB","Lieder und Gesänge, Wie bist du, meine Königin",1864-01-01,,,,2968.0,Lied,4035669-3,53313.0,0.0,0.0,Einzelinstrument Klavier,Singstimme Solo,3445.0,Klavier,4030982-4,815.0,"Brahms, Johannes",118514253,m,1833-05-07,1897-04-03,Hamburg,Wien,Wien,"XA-DE, XA-AT",8025,RB_02319_02322_N4_N,02322,N4,N,3453,37583.0,50.0,1906-02-01,print,0.0,8025.0,1.0,,,,6415.0,Singstimme,1076364128,,,
13891,Album. Bd. I. Volksausgabe. Tief,collection part,PE_00492c,,1,,,,,,,,,,,,,,,,,,,,,13361.0,Ellens Gesang,,300140290,,"52, Nr. 6",,869.0,62550.0,PE,Ellens Gesang,1825-01-01,,,,2968.0,Lied,4035669-3,62550.0,0.0,0.0,Einzelinstrument Klavier,Singstimme Solo,3445.0,Klavier,4030982-4,869.0,"Schubert, Franz",118610961,m,1797-01-31,1828-11-19,Wien,Wien,Wien,XA-AT,23017,PE_00492c_00492c_NN_tS,00492c,NN,tS,13891,68963.0,1000.0,1897-09-01,print,0.0,23017.0,1.0,,,,1.0,Klavier,4030982-4,2305.0,Lied,4035669-3
15007,Coll. Morceaux Serie I.,adaptation,HO_08417,,1,,,,,,,,,,,,,,,,,,,,,14926.0,Canzonetta de Mendelssohn,,1227781717,,,,5171.0,63967.0,HO,Canzonetta de Mendelssohn,1895-01-01,,,,2929.0,Charakterstück,4147584-7,63967.0,0.0,0.0,Einzelinstrument Mandoline,,3409.0,Mandoline,4232939-5,5171.0,"Schick, Otto",1014104688,m,,,Bad Lauchstädt,Leipzig,,XA-DE,28925,HO_08417_08418_N2_EStMl1,08418,N2,EStMl1,15007,87878.0,100.0,1895-09-20,print,0.0,28925.0,1.0,,,,6447.0,Mandoline,4232939-5,,,
13082,30 Lieder. Original & Alt.Ausgabe,collection part,PE_00299a,,1,,,,,,,,,,,1827.0,"Mozart, Wolfgang Amadeus",118584596,m,1756-01-27,1791-12-05,Salzburg,Wien,,XA-AT,12961.0,Als Luise die Briefe ihres ungetreuen Liebhabers verbrannte,,300107056,,,,1827.0,62156.0,PE,Als Luise die Briefe ihres ungetreuen Liebhabers verbrannte,1787-01-01,,,,2968.0,Lied,4035669-3,62156.0,0.0,0.0,Einzelinstrument Klavier,Singstimme Solo,3445.0,Klavier,4030982-4,1827.0,"Mozart, Wolfgang Amadeus",118584596,m,1756-01-27,1791-12-05,Salzburg,Wien,,XA-AT,22225,PE_00299a_00299a_NN_hS,00299a,NN,hS,13082,65341.0,600.0,1898-06-01,print,0.0,22225.0,1.0,,,,1.0,Klavier,4030982-4,2305.0,Lied,4035669-3
15007,Coll. Morceaux Serie I.,adaptation,HO_08417,,1,,,,,,,,,,,,,,,,,,,,,14924.0,El Ole,,1227781466,,,,5171.0,63965.0,HO,El Ole,1895-01-01,,,,2975.0,Tanzmusik,4140677-1,63965.0,0.0,0.0,Einzelinstrument Mandoline,,3409.0,Mandoline,4232939-5,5171.0,"Schick, Otto",1014104688,m,,,Bad Lauchstädt,Leipzig,,XA-DE,28944,HO_08417_08419_N3_EStMa,08419,N3,EStMa,15007,87973.0,300.0,1921-02-14,print,0.0,28944.0,1.0,,,,4352.0,Gitarre,4124933-1,,,
356,op. 13. Begräbnisgesang,work,RB_00167,,2,,,,,,,,,,,,,,,,,,,,,310.0,Begräbnisgesang,,300024843,,13,,815.0,50985.0,RB,Begräbnisgesang in c-Moll,1858-01-01,c-Moll,,,3148.0,Gesang,4020470-4,50985.0,0.0,1.0,gemischtes Ensemble,,3490.0,Horn,4160662-0,815.0,"Brahms, Johannes",118514253,m,1833-05-07,1897-04-03,Hamburg,Wien,Wien,"XA-DE, XA-AT",1478,RB_00167_00167_NN_EStT,00167,NN,EStT,356,2575.0,100.0,1881-03-16,print,0.0,1478.0,1.0,,,,,,,,,
10981,Wachet auf. K.A.,adaptation,PE_01691,one piano two hands,-1,,,,,,,,,,,,,,,,,,,,,10647.0,"Wachet auf, ruft uns die Stimme",,300008341,,,,884.0,66302.0,PE,"Wachet auf, ruft uns die Stimme",1731-01-01,,,,2987.0,Kantate,4029509-6,66302.0,1.0,1.0,Instrumentalsolisten,Vokalsolisten,3470.0,Tenor,4184718-0,884.0,"Bach, Johann Sebastian",11850553X,m,1685-03-21,1750-07-28,Eisenach,Leipzig,"Mühlhausen/Thüringen, Weimar, Köthen (Anhalt), Leipzig",XA-DE,24307,PE_01691_01691_NN_EStVc,01691,NN,EStVc,10981,,,,,,,,,,,3584.0,Chor,4010045-5,,,
15007,Coll. Morceaux Serie I.,adaptation,HO_08417,,1,,,,,,,,,,,,,,,,,,,,,14924.0,El Ole,,1227781466,,,,5171.0,63965.0,HO,El Ole,1895-01-01,,,,2929.0,Charakterstück,4147584-7,63965.0,0.0,0.0,Einzelinstrument Mandoline,,3409.0,Mandoline,4232939-5,5171.0,"Schick, Otto",1014104688,m,,,Bad Lauchstädt,Leipzig,,XA-DE,28933,HO_08417_08420_N4_EStMl1,08420,N4,EStMl1,15007,87931.0,125.0,1911-03-21,print,0.0,28933.0,1.0,,,,60538.0,Mandola,4168776-0,,,
12712,Rondos,collection full,PE_01068,,1,,,,,,,,,,,,,,,,,,,,,9478.0,Rondos,,1138586617,Klavier,21,,5006.0,59114.0,"HO, PE",Rondo für Klavier,1827-01-01,,,,3127.0,Rondo,4178454-6,59114.0,0.0,0.0,Einzelinstrument Klavier,,3445.0,Klavier,4030982-4,5006.0,"Hünten, Franz",118707795,,,,,,,,21289,PE_01068_01068_NN_N,01068,NN,N,12712,71414.0,2000.0,1886-01-01,print,0.0,21289.0,1.0,,,,,,,,,
9003,op. 90: Die Geburt Christi,adaptation,RB_01996,,-1,,,,,,,,,,,,,,,,,,,,,3802.0,Die Geburt Christi,,300073542,,90,,719.0,65936.0,"PE, RB",Die Geburt Christi in D-Dur,1894-01-01,D-Dur,,,2973.0,Oratorium,4129085-9,65936.0,1.0,1.0,Instrumentalsolisten,Vokalsolisten,3448.0,Orgel,4043844-2,719.0,"Herzogenberg, Heinrich von",119523876,m,1843-06-10,1900-10-09,Graz,Wiesbaden,Leipzig,"XA-AT, XA-DE",15683,RB_01996_01996_NN_P,01996,NN,P,9003,52428.0,50.0,1895-05-04,print,0.0,15683.0,1.0,,,,2206.0,Kinderchor,4163811-6,,,
540,Op. 33. Romanzen.,work,RB_00401a,,1,,,,,,,,,,,,,,,,,,,,,490.0,Romanzen,,300026714,"Singstimme, Klavier",op.33,,815.0,51151.0,"PE, RB","Romanze für Singstimme, Klavier",1861-01-01,,,,2968.0,Lied,4035669-3,51151.0,0.0,0.0,Einzelinstrument Klavier,Singstimme Solo,3445.0,Klavier,4030982-4,815.0,"Brahms, Johannes",118514253,m,1833-05-07,1897-04-03,Hamburg,Wien,Wien,"XA-DE, XA-AT",4228,RB_00401a_00401b_N5_N,00401b,N5,N,540,17382.0,100.0,1897-11-10,print,0.0,4228.0,1.0,,,,,,,,,
1135,Schöpfung,work,PE_01029,,1,,,,,,,,,,,,,,,,,,,,,1453.0,Die Schöpfung,,300070071,,,,159.0,65873.0,"PE, RB",Die Schöpfung,1796-01-01,,,,2973.0,Oratorium,4129085-9,65873.0,1.0,1.0,,Singstimme Solo,3486.0,Orchester,4172708-3,159.0,"Haydn, Joseph",118547356,m,1732-03-31,1809-05-31,Rohrau,Wien,"Eisenstadt, Wien",XA-AT,2241,PE_01029_01029_NN_EStBC,01029,NN,EStBC,1135,7746.0,300.0,1926-11-01,print,0.0,2241.0,1.0,,,,,,,,,
13696,"Arien-Album, Bass",collection full,PE_00737a,,1,,,,,,,,,,,,,,,,,,,,,13565.0,La vestale,Dans le sein d'un ami fidele,1225434254,,,,175.0,62738.0,PE,"La vestale, Dans le sein d'un ami fidele",1805-01-01,,,,2958.0,Arie,4143006-2,62738.0,1.0,0.0,,Bass Solo,3486.0,Orchester,4172708-3,175.0,"Spontini, Gaspare",118616374,m,1774-11-14,1851-01-24,Maiolati,Maiolati,"Paris, Berlin",XA-IT,23273,PE_00737a_00737a_Bd1_N,00737a,Bd1,N,13696,74338.0,1000.0,1888-12-01,print,0.0,23273.0,1.0,,,,4616.0,Bass,4712215-8,6920.0,Arie,4143006-2
12778,Sammlung Klassischer Stücke f. Piano & Viol.,collection full,PE_01413a,,1,,,,,,,,,,,,,,,,,,,,,7283.0,Trio,Nr. 1,118917037X,"Violine, Violoncello, Klavier","1, Nr. 1",,509.0,56998.0,PE,"Trio für Violine, Violoncello, Klavier in Es-Dur, Nr. 1",1793-01-01,Es-Dur,,,3154.0,Trio,4186188-7,56998.0,0.0,0.0,Trio,,3426.0,Violine,4019791-8,509.0,"Beethoven, Ludwig van",118508288,m,1770-12-17,1827-03-26,Bonn,Wien,"Bonn, Wien","XA-DE, XA-AT",21501,PE_01413a_01413a_Bd1_N,01413a,Bd1,N,12778,95518.0,3000.0,1893-11-01,print,0.0,21501.0,1.0,,,,5.0,Violine,4019791-8,,,
12780,Sammlung Klassischer Stücke f. Piano & Cello,collection full,PE_01418a,,1,,,,,,,,,,,,,,,,,,,,,10480.0,Serse,Ombra mai fù,300065760,,,,5524.0,59997.0,"HO, PE","Serse, Ombra mai fù",1737-01-01,,,,2958.0,Arie,4143006-2,59997.0,1.0,0.0,,Sopran Solo,3486.0,Orchester,4172708-3,5524.0,"Händel, Georg Friedrich",118544489,,,,,,,,21509,PE_01418a_01418c_Bd3_N,01418c,Bd3,N,12780,96304.0,600.0,1920-11-01,print,0.0,21509.0,1.0,,,,10.0,Violoncello,4063584-3,,,
15023,Coll. Morceaux Serie II.,adaptation,HO_08433,,1,,,,,,,,,,,,,,,,,,,,,14949.0,Malagueña,,122826127X,,,,5171.0,63988.0,HO,Malagueña,1895-01-01,,,,2975.0,Tanzmusik,4140677-1,63988.0,0.0,0.0,Einzelinstrument Mandoline,,3409.0,Mandoline,4232939-5,5171.0,"Schick, Otto",1014104688,m,,,Bad Lauchstädt,Leipzig,,XA-DE,29053,HO_08433_08436_N4_EStK,08436,N4,EStK,15023,90806.0,150.0,1895-10-15,print,0.0,29053.0,1.0,,,,6447.0,Mandoline,4232939-5,,,
13068,Sonaten á 2/ms von Köhler,collection full,PE_00296a,,1,,,,,,,,,,,,,,,,,,,,,12903.0,Sonatinen,,300016824,Klavier,79,Nr. 25,509.0,62078.0,PE,Sonatinen für Klavier Nr. 25 in G-Dur,1809-01-01,G-Dur,,,2935.0,Sonatine,4181787-4,62078.0,0.0,0.0,Einzelinstrument Klavier,,3445.0,Klavier,4030982-4,509.0,"Beethoven, Ludwig van",118508288,m,1770-12-17,1827-03-26,Bonn,Wien,"Bonn, Wien","XA-DE, XA-AT",22185,PE_00296a_00296b_Bd2_N,00296b,Bd2,N,13068,65207.0,2150.0,1894-03-01,print,0.0,22185.0,1.0,,,,1.0,Klavier,4030982-4,6146.0,Sonate,4131190-5
15007,Coll. Morceaux Serie I.,adaptation,HO_08417,,1,,,,,,,,,,,,,,,,,,,,,14935.0,Csárdás,Nr. 3,1228261792,,,Nr. 3,5171.0,63973.0,HO,"Csárdás Nr. 3, Nr. 3",1895-01-01,,,,3163.0,Melodie,4139233-4,63973.0,0.0,0.0,Einzelinstrument Mandoline,,3409.0,Mandoline,4232939-5,5171.0,"Schick, Otto",1014104688,m,,,Bad Lauchstädt,Leipzig,,XA-DE,28961,HO_08417_08423_N7_EStK,08423,N7,EStK,15007,88507.0,150.0,1895-08-05,print,0.0,28961.0,1.0,,,,60538.0,Mandola,4168776-0,,,
12780,Sammlung Klassischer Stücke f. Piano & Cello,collection full,PE_01418a,,1,,,,,,,,,,,,,,,,,,,,,12263.0,Divertimento,Menuetto,300107749,"Horn (2), Violine (2), Viola, Bassinstrument",,,1827.0,66397.0,PE,"Divertimento für Horn (2), Violine (2), Viola, Bassinstrument in D-Dur, Menuetto",,D-Dur,,,3087.0,Menuett,4169444-2,66397.0,0.0,0.0,gemischtes Ensemble,,3426.0,Violine,4019791-8,1827.0,"Mozart, Wolfgang Amadeus",118584596,m,1756-01-27,1791-12-05,Salzburg,Wien,,XA-AT,21508,PE_01418a_01418b_Bd2_N,01418b,Bd2,N,12780,96280.0,500.0,1906-11-01,print,0.0,21508.0,1.0,,,,1.0,Klavier,4030982-4,,,
13711,Album. hoch,collection part,PE_00756a,,-1,,,,,,,,,,,,,,,,,,,,,13592.0,Romanzen und Balladen,Die beiden Grenadiere,300146140,,"49, Nr. 1",,601.0,62716.0,PE,"Romanzen und Balladen, Die beiden Grenadiere",1840-01-01,,,,2968.0,Lied,4035669-3,62716.0,0.0,0.0,Einzelinstrument Klavier,Singstimme Solo,3445.0,Klavier,4030982-4,601.0,"Schumann, Robert",118611666,m,1810-06-08,1856-07-29,Zwickau,Endenich,,XA-DE,23302,PE_00756a_00756b_Bd2_hS,00756b,Bd2,hS,13711,75139.0,400.0,1877-10-01,print,0.0,23302.0,1.0,,,,1.0,Klavier,4030982-4,,,
2172,opus 57: Lieder u. Gesänge m. Piano Ausgabe für eine tiefe Stimme. 2 Hefte,adaptation,RB_01020,,1,815.0,"Brahms, Johannes",118514253,m,1833-05-07,1897-04-03,Hamburg,Wien,Wien,"XA-DE, XA-AT",,,,,,,,,,,665.0,Lieder und Gesänge,,300026137,,57,,815.0,51304.0,"PE, RB",Lieder und Gesänge,1871-01-01,,,,2968.0,Lied,4035669-3,51304.0,0.0,0.0,Einzelinstrument Klavier,Singstimme Solo,3445.0,Klavier,4030982-4,815.0,"Brahms, Johannes",118514253,m,1833-05-07,1897-04-03,Hamburg,Wien,Wien,"XA-DE, XA-AT",6313,RB_01020_01020_N8_N,01020,N8,N,2172,30721.0,100.0,1898-10-15,print,0.0,6313.0,1.0,,,,1.0,Klavier,4030982-4,,,
