uid,title,type,mvdb_id,piano_combination,final,editors.uid,editors.name,editors.gnd_id,editors.gender,editors.date_of_birth,editors.date_of_death,editors.place_of_birth,editors.place_of_death,editors.place_of_activity,editors.geographic_area_code,composers.uid,composers.name,composers.gnd_id,composers.gender,composers.date_of_birth,composers.date_of_death,composers.place_of_birth,composers.place_of_death,composers.place_of_activity,composers.geographic_area_code,works.uid,works.generic_title,works.individual_title,works.gnd_id,works.title_instrument,works.opus_no,works.title_number,works.firstcomposer,works.main_instrumentation,works.publishers,works.full_title,works.date_of_production,works.tonality,works.gnd_instruments,works.gnd_genres,works.mvdb_genres.uid,works.mvdb_genres.name,works.mvdb_genres.gnd_id,works.mvdb_instrumentation.uid,works.mvdb_instrumentation.has_orchestra,works.mvdb_instrumentation.has_choir,works.mvdb_instrumentation.instrumental_soloists,works.mvdb_instrumentation.vocal_soloists,works.mvdb_instrumentation.instruments.uid,works.mvdb_instrumentation.instruments.name,works.mvdb_instrumentation.instruments.gnd_id,works.composers.uid,works.composers.name,works.composers.gnd_id,works.composers.gender,works.composers.date_of_birth,works.composers.date_of_death,works.composers.place_of_birth,works.composers.place_of_death,works.composers.place_of_activity,works.composers.geographic_area_code,published_subitems.uid,published_subitems.mvdb_id,published_subitems.publisher_number,published_subitems.part,published_subitems.voice,published_subitems.published_item,published_subitems.prints.uid,published_subitems.prints.quantity,published_subitems.prints.date_of_action,published_subitems.prints.type,published_subitems.prints.inferred,published_subitems.prints.published_subitem,published_subitems.prints.certain,published_subitems.sales,published_subitems.maculation,published_subitems.works,instruments.uid,instruments.name,instruments.gnd_id,genres.uid,genres.name,genres.gnd_id
1067,Matthäus-Passion.,work,PE_00023,,2,,,,,,,,,,,,,,,,,,,,,1327.0,Matthäuspassion,,300009798,,,,884.0,65847.0,"PE, RB",Matthäuspassion,1736-01-01,,,,2927.0,error,error,65847.0,1.0,1.0,Instrumentalsolisten,Vokalsolisten,3422.0,Viola,4188364-0,884.0,"Bach, Johann Sebastian",11850553X,m,1685-03-21,1750-07-28,Eisenach,Leipzig,"Mühlhausen/Thüringen, Weimar, Köthen (Anhalt), Leipzig",XA-DE,2068,PE_00023_00023_NN_EStVaCoro2,00023,NN,EStVaCoro2,1067,5471.0,200.0,1922-05-01,print,0.0,2068.0,1.0,,,,,,,,,
3473,op. 120: Canticum Cantic. (Das Hohe Lied),adaptation,RB_02357,,1,,,,,,,,,,,,,,,,,,,,,3943.0,Canticum canticorum,,1207116343,,120,,1638.0,53847.0,"PE, RB",Canticum canticorum,1898-01-01,,,,2987.0,Kantate,4029509-6,53847.0,1.0,1.0,Instrumentalsolisten,Sopran Solo,3397.0,Bariton,4392006-8,1638.0,"Bossi, Marco Enrico",116267100,m,1861-04-25,1925-02-20,Salò,,,XA-IT,9043,RB_02357_02360_NN_EStS,02360,NN,EStS,3473,39138.0,500.0,1906-10-18,print,0.0,9043.0,1.0,,,,768.0,Orchester,4172708-3,,,
1078,Orgelcompositionen.,collection part,PE_00240,,0,,,,,,,,,,,,,,,,,,,,,1353.0,Präludium und Fuge,,300010605,Orgel,,,884.0,51735.0,PE,Präludium und Fuge für Orgel in A-Dur,,A-Dur,,,2981.0,Fuge,4155614-8,51735.0,0.0,0.0,Einzelinstrument Orgel,,3448.0,Orgel,4043844-2,884.0,"Bach, Johann Sebastian",11850553X,m,1685-03-21,1750-07-28,Eisenach,Leipzig,"Mühlhausen/Thüringen, Weimar, Köthen (Anhalt), Leipzig",XA-DE,1904,PE_00240_00247_H8_N,00247,H8,N,1078,14677.0,600.0,1878-07-01,print,0.0,1904.0,1.0,,,,,,,,,
13891,Album. Bd. I. Volksausgabe. Tief,collection part,PE_00492c,,1,,,,,,,,,,,,,,,,,,,,,13369.0,Jägers Abendlied,,300300204,,,,869.0,62560.0,PE,Jägers Abendlied,1815-01-01,,,,2968.0,Lied,4035669-3,62560.0,0.0,0.0,Einzelinstrument Klavier,Singstimme Solo,3483.0,Singstimme,4156941-6,869.0,"Schubert, Franz",118610961,m,1797-01-31,1828-11-19,Wien,Wien,Wien,XA-AT,23017,PE_00492c_00492c_NN_tS,00492c,NN,tS,13891,68958.0,1500.0,1889-01-01,print,0.0,23017.0,1.0,,,,6456.0,Gesang,4791066-5,2305.0,Lied,4035669-3
11218,Concert No. 1. f. Kl. & Violine.,adaptation,PE_01991,,1,,,,,,,,,,,4708.0,"Paganini, Niccolò",118591177,m,,,Genua,Nizza,,XA-IT,10789.0,Konzert,,300116853,"Violine, Orchester",6,Nr. 1,4708.0,60288.0,PE,"Konzert für Violine, Orchester Nr. 1 in D-Dur",1826-01-01,D-Dur,,,2932.0,Konzert,4032359-6,60288.0,1.0,0.0,Violine,,3426.0,Violine,4019791-8,4708.0,"Paganini, Niccolò",118591177,m,,,Genua,Nizza,,XA-IT,19583,PE_01991_01991_NN_N,01991,NN,N,11218,98530.0,600.0,1885-01-01,print,0.0,19583.0,1.0,,,,5.0,Violine,4019791-8,,,
558,Grosse Messe (in Es) für Chor & Orchester.,work,RB_00424,,1,,,,,,,,,,,,,,,,,,,,,512.0,Messen,,300141106,,,Nr. 6,869.0,51223.0,"PE, RB",Messe Nr. 6 in Es-Dur,1828-01-01,Es-Dur,,,3162.0,Messvertonung,4129031-8,51223.0,1.0,1.0,,Vokalsolisten,3486.0,Orchester,4172708-3,869.0,"Schubert, Franz",118610961,m,1797-01-31,1828-11-19,Wien,Wien,Wien,XA-AT,4279,RB_00424_00427_NN_EStS,00427,NN,EStS,558,17726.0,100.0,1897-10-01,print,0.0,4279.0,1.0,,,,,,,,,
12944,Concert f 1 Clavier. Dmoll,adaptation,PE_00254,,-1,,,,,,,,,,,,,,,,,,,,,10882.0,Konzert,Nr. 1,300009372,"Cembalo, Orchester",,,884.0,60452.0,PE,"Konzert für Cembalo, Orchester in d-Moll, Nr. 1",1738-01-01,d-Moll,,,2932.0,Konzert,4032359-6,60452.0,1.0,0.0,Cembalo,,3486.0,Orchester,4172708-3,884.0,"Bach, Johann Sebastian",11850553X,m,1685-03-21,1750-07-28,Eisenach,Leipzig,"Mühlhausen/Thüringen, Weimar, Köthen (Anhalt), Leipzig",XA-DE,21925,PE_00254_00254_NN_P,00254,NN,P,12944,61854.0,50.0,1886-04-01,print,0.0,21925.0,1.0,,,,1.0,Klavier,4030982-4,,,
13890,Album. Bd. I Volksausgabe. Mittel,collection part,PE_00492b,,1,,,,,,,,,,,,,,,,,,,,,13357.0,Sei mir gegrüßt,,300300166,,"20, Nr. 1",,869.0,62547.0,PE,Sei mir gegrüßt,1821-01-01,,,,2968.0,Lied,4035669-3,62547.0,0.0,0.0,Einzelinstrument Klavier,Singstimme Solo,3483.0,Singstimme,4156941-6,869.0,"Schubert, Franz",118610961,m,1797-01-31,1828-11-19,Wien,Wien,Wien,XA-AT,23016,PE_00492b_00492b_NN_mS,00492b,NN,mS,13890,68921.0,400.0,1883-12-01,print,0.0,23016.0,1.0,,,,6456.0,Gesang,4791066-5,2305.0,Lied,4035669-3
15023,Coll. Morceaux Serie II.,adaptation,HO_08433,,1,,,,,,,,,,,,,,,,,,,,,14938.0,Nocturne de Field,,1227782446,,,,5171.0,63977.0,HO,Nocturne de Field,1895-01-01,,,,2939.0,Notturno,4172080-5,63977.0,0.0,0.0,Einzelinstrument Mandoline,,3409.0,Mandoline,4232939-5,5171.0,"Schick, Otto",1014104688,m,,,Bad Lauchstädt,Leipzig,,XA-DE,29067,HO_08433_08439_N7_EStMl2,08439,N7,EStMl2,15023,90858.0,100.0,1901-04-02,print,0.0,29067.0,1.0,,,,1.0,Klavier,4030982-4,,,
4368,Op. 65 Drei Weihnachtslieder für Sopran- und Alt-Solo (oder Chor) mit Begltg v Str Instr. Harm u. Klavier,adaptation,RB_02935,,1,,,,,,,,,,,,,,,,,,,,,4840.0,Weihnachtslieder,,1207886440,,65,,2097.0,54674.0,RB,Weihnachtslieder,1914-01-01,,,,2968.0,Lied,4035669-3,54674.0,1.0,0.0,Instrumentalsolisten,Vokalsolisten,3494.0,Streichorchester,4183630-3,2097.0,"Peters, Max",116121661,m,1849-10-16,1927-02-14,Arendsee (Altmark),Charlottenburg,"Berlin, Moskau",XA-DE,11164,RB_02935_02937_NN_EStVc,02937,NN,EStVc,4368,43440.0,100.0,1914-10-14,print,0.0,11164.0,1.0,,,,60461.0,Harmonium,4159135-5,,,
